796,232,563
$,233,563,1.00431034483,1.0,0.292713567839
re,228,534,0.98275862069,0.948490230906,0.299212598425
fundrais(ers?|ing),10,19,0.0431034482759,0.0337477797513,0.344827586207
free,59,88,0.254310344828,0.156305506217,0.401360544218
provided,35,25,0.150862068966,0.044404973357,0.583333333333
elections?,16,84,0.0689655172414,0.14920071048,0.16
pizza,38,1,0.163793103448,0.00177619893428,0.974358974359
serv(e|ing),79,67,0.340517241379,0.119005328597,0.541095890411
applications?,11,54,0.0474137931034,0.0959147424512,0.169230769231
sales?,1,36,0.00431034482759,0.0639431616341,0.027027027027
noch,4,1,0.0172413793103,0.00177619893428,0.8
sell(s?|ing),4,33,0.0172413793103,0.0586145648313,0.108108108108
tickets?,6,77,0.0258620689655,0.13676731794,0.0722891566265
costs?,7,16,0.0301724137931,0.0284191829485,0.304347826087
money,2,18,0.00862068965517,0.0319715808171,0.1
performances?,4,19,0.0172413793103,0.0337477797513,0.173913043478
purchases?,2,9,0.00862068965517,0.0159857904085,0.181818181818
cater(ed?|ing?),12,5,0.051724137931,0.0088809946714,0.705882352941
dinners?,58,13,0.25,0.023090586,0.81690281
surveys?,1,21,0.00431034482759,0.0373001776199,0.0454545454545
delicious,15,10,0.0646551724138,0.0177619893428,0.6
foods?,34,48,0.146551724138,0.0852575488455,0.414634146341
vegetarian,5,1,0.0215517241379,0.00177619893428,0.833333333333
buys?,2,28,0.00862068965517,0.0497335701599,0.0666666666667
\bpies?\b,3,1,0.0129310344828,0.00177619893428,0.75
order(s?|ed),9,53,0.0387931034483,0.0941385435169,0.145161290323
donat(es?|ions?),7,9,0.0301724137931,0.0159857904085,0.4375
pay(s?|ments?),2,24,0.00862068965517,0.0426287744227,0.0769230769231
hungry,1,2,0.00431034482759,0.00355239786856,0.333333333333
\bmeal,1,2,0.00431034482759,0.00355239786856,0.333333333333
deliver,1,25,0.00431034482759,0.044404973357,0.0384615384615
prices?,2,6,0.00862068965517,0.0106571936057,0.25
beers?,3,2,0.0129310344828,0.00355239786856,0.6
chocolate,10,1,0.0431034482759,0.00177619893428,0.909090909091
\beats?\b,14,3,0.0603448275862,0.00532859680284,0.823529411765
drinks?,18,3,0.0775862068966,0.00532859680284,0.857142857143
tast(e|y),4,5,0.0172413793103,0.0088809946714,0.444444444444
\bticknor,29,12,0.125,0.0213143872114,0.707317073171
reception,7,3,0.0301724137931,0.00532859680284,0.7
snack,16,9,0.0689655172414,0.0159857904085,0.64
yummy,2,0,0.00862068965517,0.0014367816092,0.712020460358
concerts?,2,10,0.00862068965517,0.0177619893428,0.166666666667
bagels?,4,3,0.0172413793103,0.00532859680284,0.571428571429
brunch(es)?,11,2,0.0474137931034,0.00355239786856,0.846153846154
\bcafes?\b,4,2,0.0172413793103,0.00355239786856,0.666666666667
panera,4,0,0.0172413793103,0.00287356321839,0.712020460358
toast,2,0,0.00862068965517,0.0014367816092,0.712020460358
yogurt,7,1,0.0301724137931,0.00177619893428,0.875
\bchai\b,8,0,0.0344827586207,0.00574712643678,0.712020460358
apply,15,63,0.0646551724138,0.11190053286,0.192307692308
mixer,16,10,0.0689655172414,0.0177619893428,0.615384615385
sandwich,0,3,0.00088809946714,0.00532859680284,0.0642659279778
paid,4,15,0.0172413793103,0.0266429840142,0.210526315789
cuisines?,0,5,0.00148016577857,0.0088809946714,0.0642659279778
cakes?,11,1,0.0474137931034,0.00177619893428,0.916666666667
taffy,3,0,0.0129310344828,0.00215517241379,0.712020460358
hackathons?,6,2,0.0258620689655,0.00355239786856,0.75
lunch,17,6,0.073275862069,0.0106571936057,0.739130434783
cook(s?|ing?),17,4,0.073275862069,0.00710479573712,0.809523809524
cookies?,13,1,0.0560344827586,0.00177619893428,0.928571428571
insomnia,5,0,0.0215517241379,0.00359195402299,0.712020460358
profits?,6,21,0.0258620689655,0.0373001776199,0.222222222222
desserts?,8,1,0.0344827586207,0.00177619893428,0.888888888889
cider,8,1,0.0344827586207,0.00177619893428,0.888888888889
finale,4,0,0.0172413793103,0.00287356321839,0.712020460358
colloquium,8,3,0.0344827586207,0.00532859680284,0.727272727273
donuts?,3,0,0.0129310344828,0.00215517241379,0.712020460358
\bteas?\b,9,4,0.0387931034483,0.00710479573712,0.692307692308
appetizers?,4,0,0.0172413793103,0.00287356321839,0.712020460358
veggies?,2,1,0.00862068965517,0.00177619893428,0.666666666667
cand(y|ies),2,1,0.00862068965517,0.00177619893428,0.666666666667
beans?,1,0,0.00431034482759,0.000718390804598,0.712020460358
mushroom,1,0,0.00431034482759,0.000718390804598,0.712020460358
ramen,2,0,0.00862068965517,0.0014367816092,0.712020460358
topping,4,0,0.0172413793103,0.00287356321839,0.712020460358
blueberry,1,0,0.00431034482759,0.000718390804598,0.712020460358
munch,2,0,0.00862068965517,0.0014367816092,0.712020460358
sample,0,3,0.00088809946714,0.00532859680284,0.0642659279778
\bjp\b,10,6,0.0431034482759,0.0106571936057,0.625
licks,5,2,0.0215517241379,0.00355239786856,0.714285714286
homemade,3,0,0.0129310344828,0.00215517241379,0.712020460358
loaf,1,0,0.00431034482759,0.000718390804598,0.712020460358
pumpkin,1,0,0.00431034482759,0.000718390804598,0.712020460358
breakfasts?,3,2,0.0129310344828,0.00355239786856,0.6
presales?,0,3,0.00088809946714,0.00532859680284,0.0642659279778
bertucci,2,1,0.00862068965517,0.00177619893428,0.666666666667
sweets,1,1,0.00431034482759,0.00177619893428,0.5
\bmeat,5,0,0.0215517241379,0.00359195402299,0.712020460358
beverages?,8,0,0.0344827586207,0.00574712643678,0.712020460358
